number_of_rooms,floor,area,address,date,price
5,3,100.0,,03.02.2022 23:53,865000
2,13,62.0,112мкр,03.02.2022 23:41,397000
3,11,63.0,61мкр,03.02.2022 23:38,450000
5,1,125.0,Караболо,03.02.2022 23:34,1280000
3,12,75.0,Шохмансур,03.02.2022 23:11,400000
1,14,62.0,Сино 2,03.02.2022 23:06,250000
1,4,58.0,Сино 91 мкр,03.02.2022 23:01,385000
3,8,50,,03.02.2022 23:01,685000
2,13,50.0,Сино,03.02.2022 22:52,400000
2,14,75.0,Шохмансур,03.02.2022 22:44,340000
2,14,55.0,,03.02.2022 22:43,449000
2,1,53.0,112 мкр,03.02.2022 22:43,374500
2,7,50.0,Фирдавси,03.02.2022 22:01,245000
1,8,50,,03.02.2022 21:53,460000
4,6,90.0,,03.02.2022 21:50,850000
2,4,42.0,Гипрозем,03.02.2022 21:46,304999
2,5,53.0,Фирдавси,03.02.2022 21:45,309999
2,1,40.0,Филармония,03.02.2022 21:41,399000
5,3,120.0,Военный Городок,03.02.2022 21:29,700000
3,2,63.0,Гипрозем,03.02.2022 21:24,450000
3,2,80.0,Сино,03.02.2022 21:22,604800
1,4,28.0,Шохмансур,03.02.2022 21:21,445000
3,1,70.0,Фирдавси,03.02.2022 21:17,547000
1,5,48.0,,03.02.2022 21:07,138000
2,5,52.0,Фирдавси,03.02.2022 21:06,420000
2,6,44.0,Сино,03.02.2022 20:47,372000
2,2,48.0,Фирдавси,03.02.2022 20:27,360000
4,5,120.0,Гипрозем,03.02.2022 20:24,740000
2,2,37.0,1 Советский,03.02.2022 20:13,295000
4,2,80.0,33 мкр,03.02.2022 20:13,644000
3,3,68.0,Сино,03.02.2022 20:04,665000
2,11,62.0,Садбарг,03.02.2022 19:37,545000
3,10,81.0,И.Сомони,03.02.2022 19:34,798000
2,10,90.0,Опера,03.02.2022 19:33,490000
1,2,60.0,Шохмансур,03.02.2022 19:10,370000
2,8,65.0,Гипрозем,03.02.2022 18:55,400000
5,4,70.0,Фирдавси,03.02.2022 18:13,575000
2,11,96.0,83 мкр,03.02.2022 18:07,496800
3,10,154.0,91 мкр,03.02.2022 18:06,862000
2,4,78.0,Поворот Аэропорт,03.02.2022 18:05,644000
2,2,47.0,82 мкр,03.02.2022 18:04,440000
1,2,50,,03.02.2022 18:04,400000
2,12,46.0,Гаи,03.02.2022 18:01,305000
2,11,125.0,103 мкр,03.02.2022 18:01,1150000
4,4,85.0,Фирдавси,03.02.2022 18:01,530000
2,2,60.0,92 мкр,03.02.2022 18:01,445000
3,3,103.0,И. Сомони,03.02.2022 17:59,800000
1,1,42.0,91 мкр,03.02.2022 17:59,385000
2,2,60.0,91мкр,03.02.2022 17:58,445000
3,1,53.0,Сино 2,03.02.2022 17:51,570000
2,9,54.0,Караболо,03.02.2022 17:30,444600
2,5,51.0,И. Сомонӣ,03.02.2022 17:20,630000
2,3,57.0,46мкр,03.02.2022 17:19,450000
2,2,57.0,84 мкр,03.02.2022 17:12,416100
3,2,61.0,Филармония,03.02.2022 17:00,650000
3,3,125.0,Aэропорт,03.02.2022 16:52,1400000
3,5,65.0,Сино,03.02.2022 16:51,420000
2,9,65.0,Вахдат,03.02.2022 16:45,270000
3,5,114.0,Шохмансур,03.02.2022 16:17,800000
3,1,118.0,И.Сомони,03.02.2022 16:04,1335760
2,8,60.0,Испечак-1,03.02.2022 15:31,341400
1,15,41.0,Зарафшон,03.02.2022 15:25,150000
3,6,97.0,Исмоили Сомони,03.02.2022 15:17,780000
2,17,97.0,Ориентир Раёсати Корхои Дохилии Шахр,03.02.2022 15:14,669300
2,10,53.0,Наврузгох,03.02.2022 15:11,271000
1,8,53.0,,03.02.2022 15:07,210000
3,11,132.0,Зарафшон,03.02.2022 15:00,435000
5,1,87.0,65мкр,03.02.2022 14:58,670000
2,1,45.0,Фирдавси,03.02.2022 14:53,259000
2,15,83.0,Голубой экран,03.02.2022 14:50,429525
3,8,87.0,112 мкр,03.02.2022 14:42,720000
1,8,54.0,ул Бухоро 23,03.02.2022 14:39,533000
4,7,180.0,ул. Истаравшан,03.02.2022 14:38,1600000
2,13,46.0,,03.02.2022 14:35,673000
2,1,79.0,,03.02.2022 14:34,471000
3,15,95.0,Шохмансур,03.02.2022 14:33,580000
2,15,81.0,,03.02.2022 14:13,370000
3,6,96.0,Цум,03.02.2022 14:05,965000
2,2,84.0,И.Сомони,03.02.2022 13:52,350000
2,9,75.0,Фирдавси,03.02.2022 13:41,430000
2,4,87.0,Сино,03.02.2022 13:07,790000
2,1,68.0,,03.02.2022 12:55,500000
3,9,110.0,Карабоев,03.02.2022 12:46,1450000
1,9,57.0,Шохмансур,03.02.2022 12:42,354500
2,5,56.0,103 мкр,03.02.2022 12:41,320000
2,12,82.0,И.Сомоний,03.02.2022 12:20,520000
1,3,37.0,Фирдавси,03.02.2022 12:13,250000
3,12,67.0,Фирдавси,03.02.2022 12:09,500000
3,1,70.0,1-й Советский,03.02.2022 12:08,445000
2,9,68.0,пушти 91 мкр,03.02.2022 12:01,320000
3,2,70.0,Сино 84 мкр,03.02.2022 11:49,545000
1,11,50,,03.02.2022 11:38,320000
5,10,139.0,Ориентир напротив бывшего магазина Ласточка,03.02.2022 11:36,943120
2,4,52.0,Гипрозем,03.02.2022 11:30,367000
1,5,68.0,101 мкр-н,03.02.2022 11:29,386000
1,4,55.0,Ориентир бывший Бизнес Центр SAS,03.02.2022 11:29,442750
3,2,80.0,Сино,03.02.2022 11:24,780000
3,3,80.0,Зарафшон,03.02.2022 11:22,592800
3,10,90.0,82 мкр,03.02.2022 11:22,665000
2,14,83.0,Поворот Аэропорта,03.02.2022 11:21,570000
2,14,75.0,Зарафшон,03.02.2022 11:20,307000
1,9,45.0,Автовокзал,03.02.2022 11:19,350000
3,1,72.0,Зарафшон,03.02.2022 11:19,358000
3,9,125.0,Центр,03.02.2022 11:13,1020000
1,12,72.0,Испечак,03.02.2022 11:13,320000
3,3,107.0,Ноҳияи Фирдавсӣ,03.02.2022 11:12,640000
2,1,54.0,102 мкр,03.02.2022 10:58,385000
4,5,103.0,,03.02.2022 10:57,581950
3,4,96.0,Опера Балет,03.02.2022 10:57,1313000
3,4,50,,03.02.2022 10:53,1183350
2,7,75.0,92 мкр,03.02.2022 10:45,700000
5,3,90.0,112 мкр,03.02.2022 10:44,650000
3,9,90.0,Зарафшон,03.02.2022 10:44,648000
1,4,30.0,Водонасосная,03.02.2022 10:44,260000
2,4,88.0,Поворот Аэропорт,03.02.2022 10:44,685000
5,1,110.0,Гипрозем,03.02.2022 10:41,615000
2,1,58.0,Испечак 1,03.02.2022 10:40,380000
4,9,90.0,Испечак 2,03.02.2022 10:39,456000
3,1,72.0,,03.02.2022 10:39,650000
4,4,132.0,Ипподром,03.02.2022 10:38,1650000
4,11,75.0,65мкр,03.02.2022 10:36,339000
1,4,32.0,на против парка Айни,03.02.2022 10:34,265000
1,14,55.0,проспект Айни,03.02.2022 10:34,326040
3,6,62.0,,03.02.2022 10:33,500000
1,3,44.0,Рудаки,03.02.2022 10:24,196000
3,15,132.0,И. Сомони,03.02.2022 10:19,785000
2,1,43.0,,03.02.2022 10:19,590000
2,10,94.0,Сомони,03.02.2022 10:17,972000
3,11,112.0,Хилтон,03.02.2022 10:17,650000
2,9,65.0,Шохмансур,03.02.2022 10:15,550000
2,8,75.0,112мкр,03.02.2022 10:14,422000
2,14,72.0,Испечак,03.02.2022 10:12,400000
3,13,53.0,Испечак,03.02.2022 10:09,350000
3,3,115.0,Сино,03.02.2022 09:57,999000
1,14,59.0,Зарафшон 2,03.02.2022 09:39,225900
2,9,43.0,Рудаки,03.02.2022 09:36,165000
2,13,118.0,Филармония,03.02.2022 09:35,538000
3,11,117.0,Водонасосная,03.02.2022 09:35,1710000
3,4,112.0,Созидание,03.02.2022 09:35,894000
1,12,70.0,Славянский университет,03.02.2022 09:35,477000
3,4,122.0,Дом печать,03.02.2022 09:35,1322500
3,7,94.0,,03.02.2022 09:34,855000
4,1,80.0,61 мкр,03.02.2022 09:25,690000
4,2,87.0,Зарафшон,03.02.2022 09:20,630000
2,1,42.0,Сино,03.02.2022 09:15,490000
2,4,78.0,Поворот Аэропорта,03.02.2022 08:53,640000
2,9,59.0,,03.02.2022 08:38,547000
3,3,73.0,Шохмансур,03.02.2022 08:33,450000
2,6,83.0,Фирдавси,03.02.2022 08:31,720000
2,14,108.0,Шохмансур,03.02.2022 08:30,730000
2,12,79.0,И. Сомони,03.02.2022 08:04,452000
2,1,50.0,Сино,03.02.2022 07:46,520000
3,7,100.0,Шохмансур,03.02.2022 07:42,880000
1,4,45.0,Рудаки,03.02.2022 07:35,145000
2,14,56.0,,03.02.2022 07:34,418000
1,11,50,,03.02.2022 07:10,234000
3,5,50,,03.02.2022 06:32,45000
5,1,50,,03.02.2022 06:25,420000
2,8,69.0,Фирдавси,03.02.2022 06:22,390000
2,4,60.0,91 мкр,03.02.2022 05:29,500000
2,11,52.0,,03.02.2022 02:52,550000
3,4,57.0,84мкр,03.02.2022 01:32,490000
2,4,70.0,Филармония,03.02.2022 00:50,460000
3,4,70.0,Филармония,03.02.2022 00:49,460000
2,4,75.0,Филармония,03.02.2022 00:49,460000
1,6,57.0,Зарафшон,03.02.2022 00:42,220000
3,8,86.0,102 мкр,03.02.2022 00:36,530000
1,7,60.0,Филармония,03.02.2022 00:24,339000
4,3,131.0,Исмоили Сомони,03.02.2022 00:21,850000
2,10,74.0,Зарафшон 2,03.02.2022 00:14,420000
2,12,64.0,Аэропорт,03.02.2022 00:00,630000
4,3,80.0,Фирдавси,02.02.2022 23:54,737000
3,10,132.0,Исмоили Сомони,02.02.2022 23:26,1000000
1,5,50,,02.02.2022 23:24,145000
2,13,44.0,65 мкр,02.02.2022 23:14,300000
3,6,106.0,Сино,02.02.2022 22:38,397000
2,9,73.0,Доми Симург,02.02.2022 22:36,720000
4,2,70.0,Испечак 1,02.02.2022 22:29,690000
3,14,50,,02.02.2022 22:19,330000
3,1,65.0,Сино,02.02.2022 22:02,450000
2,12,85.0,82 мкр,02.02.2022 22:01,500000
2,13,50.0,И.Сомони,02.02.2022 21:49,760000
3,5,114.0,Сомони,02.02.2022 21:41,1185000
4,1,108.0,Шохмансур,02.02.2022 21:38,487000
1,3,43.0,Сино,02.02.2022 21:36,415000
3,1,68.0,,02.02.2022 21:35,470000
3,1,70.0,Фирдавси,02.02.2022 21:20,536000
3,4,100.0,92 мкр,02.02.2022 21:11,970000
2,2,79.0,Хитой Бозор,02.02.2022 21:11,363000
1,7,50.0,,02.02.2022 21:07,218000
2,6,54.0,Сино,02.02.2022 21:07,366000
3,8,85.0,91мкр,02.02.2022 21:03,545000
1,12,43.0,Филармония,02.02.2022 21:02,380000
2,7,58.0,И.Сомони,02.02.2022 21:00,542400
2,12,50.0,Фирдавси,02.02.2022 20:58,380000
2,10,72.0,,02.02.2022 20:45,670000
3,6,64.0,92 мкр,02.02.2022 20:38,499000
2,5,78.0,102 мкр,02.02.2022 20:15,435000
2,3,58.0,65 мкр,02.02.2022 20:08,260000
3,9,98.0,Ориентир Ориенбанк,02.02.2022 20:05,1368000
2,12,50.0,Фирдавси,02.02.2022 19:33,380000
2,7,95.0,Зарафшон,02.02.2022 19:18,660000
4,4,65.0,112 мкр,02.02.2022 19:02,612700
3,10,117.0,Центр,02.02.2022 18:52,1200420
3,11,120.0,Сомонӣ,02.02.2022 18:39,1603000
1,3,49.0,Мехргон,02.02.2022 18:39,580000
2,5,70.0,Пединиститут,02.02.2022 18:39,700000
2,4,86.0,112 мкр,02.02.2022 18:38,440000
2,14,58.0,Сино,02.02.2022 17:52,255000
1,15,52.0,,02.02.2022 17:52,360000
2,7,45.0,Зарафшан,02.02.2022 17:48,350000
2,3,80.0,Шохмансур,02.02.2022 17:38,740000
1,9,55.0,Шохмансур,02.02.2022 17:30,420000
1,1,30.0,Шохмансур,02.02.2022 17:26,260000
2,7,50.0,Поворот аэропорт,02.02.2022 17:19,495000
6,15,186.0,Перекрёсток Ослиные Уши,02.02.2022 17:10,1283400
2,4,72.0,Аэропорт,02.02.2022 17:07,500000
1,4,60.0,И.Сомони,02.02.2022 17:07,342500
3,9,70.0,64 мкр,02.02.2022 17:05,360000
2,2,90.0,,02.02.2022 17:03,800000
1,5,61.0,Сино 2,02.02.2022 16:50,240000
2,14,52.0,Шохмансур Айни 59,02.02.2022 16:47,452220
2,14,54.0,Сино 2,02.02.2022 16:30,370000
2,9,65.0,92мкр,02.02.2022 16:20,330000
2,3,58.0,Сино,02.02.2022 16:13,490000
1,8,60.0,,02.02.2022 16:08,270000
1,8,67.0,,02.02.2022 16:06,305500
2,8,73.0,,02.02.2022 16:06,1007000
2,13,46.0,,02.02.2022 16:05,625000
4,3,115.0,Дом печать,02.02.2022 16:05,1140000
3,4,55.0,Исмоили Сомони,02.02.2022 16:02,430000
2,12,95.0,82 мкр,02.02.2022 15:45,541500
2,1,38.0,Шохмансур,02.02.2022 15:42,390000
2,13,60.0,И Сомони,02.02.2022 15:42,600000
2,9,107.0,Скорая Помощь,02.02.2022 15:38,604000
1,7,62.0,Филармония,02.02.2022 15:38,419000
2,10,88.0,Пединститут,02.02.2022 15:38,768000
2,8,76.0,Кохи Борбад,02.02.2022 15:18,370918
2,9,50.0,н.Фирдавси,02.02.2022 15:13,320000
3,5,74.0,хитой бозор,02.02.2022 15:11,330000
5,1,100.0,Испечак 2,02.02.2022 15:04,695005
2,8,55.0,102 мкр,02.02.2022 15:04,403655
3,7,85.0,Зарафшон,02.02.2022 15:03,545605
4,11,176.0,Садбарг,02.02.2022 15:00,900540
1,9,47.0,Шоҳмансур,02.02.2022 15:00,599000
3,9,84.0,112мкр,02.02.2022 14:58,545000
1,10,60.0,Сомони,02.02.2022 14:56,285000
2,15,60.0,Сомони,02.02.2022 14:53,360000
3,4,66.0,32 мкр,02.02.2022 14:49,520000
2,16,83.0,Молодежный театр,02.02.2022 14:40,655000
3,9,83.0,112 мкр,02.02.2022 14:34,610000
3,1,50.0,Филармония,02.02.2022 14:29,400000
3,5,85.0,Фирдавси,02.02.2022 14:28,712000
4,16,121.0,Фирдавси,02.02.2022 14:20,590000
4,4,90.0,Зарафшон,02.02.2022 14:15,775000
2,7,73.0,Зарафшон,02.02.2022 14:14,390000
1,2,33.0,Гипрозем,02.02.2022 14:14,169290
1,8,48.0,103 мкр,02.02.2022 14:12,410000
2,4,58.0,91 мкр,02.02.2022 14:12,435000
2,2,65.0,112 мкр,02.02.2022 14:11,580000
3,2,70.0,84 мкр,02.02.2022 14:11,535000
1,1,35.0,92 мкр,02.02.2022 14:10,348000
3,1,53.0,101 мкр,02.02.2022 13:54,621500
3,3,78.0,И. Сомони,02.02.2022 13:47,875000
3,5,50,,02.02.2022 13:46,835000
4,2,84.0,Диагностика,02.02.2022 13:38,690000
3,1,75.0,Сино,02.02.2022 13:31,465000
2,9,54.0,Караболо,02.02.2022 13:28,445000
3,4,75.0,Филармонияы,02.02.2022 13:24,900000
1,10,49.0,,02.02.2022 13:21,375000
3,1,110.0,,02.02.2022 13:18,410000
3,2,110.0,,02.02.2022 13:18,1000000
3,14,75.0,Аэропорт,02.02.2022 13:13,570000
1,6,32.0,Сино,02.02.2022 13:13,145000
3,6,75.0,Зарафшон,02.02.2022 13:11,520000
3,9,106.0,И.Сомони,02.02.2022 13:07,1135000
2,2,48.0,,02.02.2022 12:51,479000
4,3,135.0,91 мкр,02.02.2022 12:41,1282550
4,9,148.0,Центр,02.02.2022 12:40,1884100
4,5,65.0,102 мкр,02.02.2022 12:39,470000
2,8,56.0,Шохмансур,02.02.2022 12:37,290000
3,6,86.0,Прафсаюз,02.02.2022 12:32,800000
1,18,41.0,Зарафшон,02.02.2022 12:30,120000
2,13,54.0,Центр,02.02.2022 12:29,615600
3,2,105.0,Пединститут,02.02.2022 12:27,1082000
3,4,65.0,Филармония,02.02.2022 12:26,655000
4,7,90.0,102мкр-н,02.02.2022 12:25,615600
2,14,83.0,Сомони,02.02.2022 12:25,593024
3,12,131.0,Шохмансур,02.02.2022 12:24,777500
2,14,54.0,Скорая помощь,02.02.2022 12:17,567500
3,3,80.0,82 мкр,02.02.2022 12:16,693500
3,8,85.0,33мкр-н,02.02.2022 12:16,626000
3,3,100.0,91 мкр-н,02.02.2022 12:15,859000
2,1,60.0,91мкр,02.02.2022 12:15,538000
4,2,82.0,Фирдавсӣ,02.02.2022 12:08,685000
2,4,37.0,Цирк,02.02.2022 12:06,395000
3,12,89.0,Нохияи Исмоил Сомони,02.02.2022 12:05,950000
3,5,103.0,Шохмансур,02.02.2022 11:49,750000
2,8,60.0,103мкр,02.02.2022 11:44,615000
3,1,50.0,Караболо,02.02.2022 11:44,513000
2,4,52.0,91 мкр - Арбат,02.02.2022 11:21,445000
3,1,54.0,Гулистон,02.02.2022 11:21,410400
2,4,54.0,Мардон,02.02.2022 11:20,320000
1,7,54.0,Шохмансур,02.02.2022 11:15,380000
2,1,54.0,Сино,02.02.2022 11:12,700000
1,12,63.0,Сино,02.02.2022 11:10,299000
2,3,36.0,,02.02.2022 11:04,280000
2,3,36.0,,02.02.2022 11:04,280000
1,13,60.0,Сельхозинститут,02.02.2022 11:04,408000
1,6,40.0,,02.02.2022 10:59,160000
2,5,78.0,,02.02.2022 10:46,410000
2,6,86.0,Скорая больница,02.02.2022 10:44,660000
4,7,150.0,92 мкр,02.02.2022 10:43,950000
2,3,96.0,Дом печать,02.02.2022 10:42,750000
3,6,130.0,92 мкр,02.02.2022 10:42,1500000
2,1,54.0,112мкр-н,02.02.2022 10:41,416000
1,4,33.0,Гипрозем городок,02.02.2022 10:38,320000
2,4,100.0,,02.02.2022 10:36,1824000
3,5,86.0,,02.02.2022 10:35,912000
3,12,66.0,,02.02.2022 10:35,862500
3,12,143.0,,02.02.2022 10:34,855140
2,5,65.0,Султони Кабир,02.02.2022 10:26,337000
3,5,75.0,9 км,02.02.2022 10:25,476000
2,7,50.0,84 мкр,02.02.2022 10:18,430000
1,18,75.0,Ориентир Душанбе ВодоКанал,02.02.2022 10:03,517500
1,10,60.0,Яккачинор,02.02.2022 10:03,272400
3,7,102.0,Шохмансур,02.02.2022 10:00,903000
3,1,200.0,,02.02.2022 09:58,1707000
1,2,34.0,Мохи нав -Филармонияы,02.02.2022 09:58,295000
2,3,50.0,Маяковский,02.02.2022 09:49,297000
3,12,78.0,Шохмансур,02.02.2022 09:46,680000
4,8,100.0,Автовокзал,02.02.2022 09:44,678000
2,3,68.0,Шоҳмансур,02.02.2022 09:27,354000
4,9,147.0,Вефа Центр,02.02.2022 09:26,1930000
1,4,63.0,Сзади Ашана,02.02.2022 09:26,485000
1,11,60.0,,02.02.2022 09:25,479000
3,6,108.0,,02.02.2022 09:25,923000
3,8,116.0,,02.02.2022 09:25,741000
2,8,75.0,Улица Айни,02.02.2022 09:25,513000
3,11,81.0,,02.02.2022 09:22,798000
3,4,65.0,Цирк,02.02.2022 09:21,500000
2,13,74.0,,02.02.2022 09:20,440000
2,14,83.0,,02.02.2022 09:19,473000
2,10,50.0,Гранд Отель,02.02.2022 09:17,567000
1,2,47.0,91 мкр,02.02.2022 09:14,390000
1,19,50,,02.02.2022 09:12,150000
1,3,35.0,Шохмансур,02.02.2022 09:07,290000
3,9,76.0,103 мкр,02.02.2022 08:57,420000
3,7,120.0,И.Сомони,02.02.2022 08:49,1150000
2,14,56.0,,02.02.2022 08:43,422000
4,5,80.0,И. Сомони,02.02.2022 08:42,1150000
3,4,140.0,,02.02.2022 08:40,821100
1,7,44.0,Сомони,02.02.2022 08:29,260000
3,2,56.0,Сино,02.02.2022 08:26,501600
1,10,62.0,Фирдавси,02.02.2022 08:08,320000
2,11,81.0,Вахдат,02.02.2022 08:03,280000
3,6,107.0,,02.02.2022 07:53,355000
2,2,72.0,112 мкр,02.02.2022 07:51,475000
3,5,110.0,104 мкр,02.02.2022 07:46,990000
2,4,48.0,1 саветский,02.02.2022 07:38,270000
2,14,64.0,Зарафшон,02.02.2022 07:25,199000
3,4,70.0,82 мкр,02.02.2022 07:10,550000
2,14,62.0,Театр Чавонон,02.02.2022 07:03,530000
1,17,44.0,Айни,02.02.2022 06:21,280000
1,11,52.0,Дом печати,02.02.2022 05:21,299000
2,2,42.0,103 мкр,02.02.2022 04:07,455000
2,1,70.0,Центр Пединститут,02.02.2022 03:13,5505000
1,8,50,,02.02.2022 01:46,340500
3,11,64.0,И. Сомони,02.02.2022 01:42,555000
2,2,64.0,Гипрозем,02.02.2022 01:25,320000
3,4,67.0,102мкр,02.02.2022 00:44,445000
4,1,65.0,Фирдавси,02.02.2022 00:39,508500
2,6,45.0,Сино,02.02.2022 00:39,449000
4,2,93.0,7-ум километр,02.02.2022 00:38,630000
2,10,50.0,Китай базар,02.02.2022 00:37,240000
3,16,78.0,Сино,02.02.2022 00:22,371100
3,4,86.0,Заравшон,02.02.2022 00:20,600000
1,5,32.0,Сино,02.02.2022 00:17,250000
2,7,50,,02.02.2022 00:12,228000
2,2,65.0,7-км,02.02.2022 00:02,485000
3,16,80.0,Сино,02.02.2022 00:01,373000
1,9,38.0,МЖК,01.02.2022 23:54,250000
2,15,56.0,Сино,01.02.2022 23:48,422000
2,3,53.0,Рудаки,01.02.2022 23:45,267000
3,1,54.0,,01.02.2022 23:06,490000
4,7,130.0,Шохмансур,01.02.2022 22:50,1750000
3,4,45.0,,01.02.2022 22:45,300000
1,2,30.0,Сино,01.02.2022 22:37,290000
3,3,47.0,102 мкр,01.02.2022 22:31,520000
2,9,72.0,Шохмансур,01.02.2022 22:26,460000
2,2,38.0,Филармония,01.02.2022 22:23,360000
4,4,80.0,Сино,01.02.2022 22:16,695000
2,11,50.0,Шохмансур,01.02.2022 22:07,550000
3,7,78.0,Шохмансур,01.02.2022 22:01,785000
2,2,47.0,Сино,01.02.2022 22:00,350000
2,5,55.0,Сино,01.02.2022 21:51,385000
2,4,50,,01.02.2022 21:36,250000
3,1,70.0,Сино,01.02.2022 21:35,650000
3,2,44.0,Сино,01.02.2022 21:27,380000
4,5,63.0,Сино,01.02.2022 21:05,495000
2,7,55.0,Сино,01.02.2022 20:55,565500
1,4,46.0,Айни,01.02.2022 20:37,250000
2,3,65.0,Айни,01.02.2022 20:29,350000
1,8,44.0,Шохмансур,01.02.2022 20:27,450000
3,9,50,,01.02.2022 20:20,390000
2,8,50,,01.02.2022 20:17,280000
3,3,92.0,Республиканский Опера,01.02.2022 20:16,698000
3,4,56.0,Сино,01.02.2022 20:10,430200
2,6,60.0,Сино,01.02.2022 19:58,470000
2,6,42.0,Гравзавод,01.02.2022 19:58,1800000
2,6,58.0,н.Сино,01.02.2022 19:52,330000
3,6,70.0,,01.02.2022 19:48,530000
2,8,56.0,Рынок Балх,01.02.2022 19:26,360000
4,6,111.0,Ватан. На против офиса Вавилон.,01.02.2022 19:22,720000
1,6,35.0,Сино,01.02.2022 18:56,300000
3,4,57.0,65 мкр,01.02.2022 18:42,475000
2,14,56.0,,01.02.2022 18:37,421000
4,4,76.0,104 мкр,01.02.2022 18:32,670000
3,4,72.0,82 мкр,01.02.2022 18:27,542000
2,15,52.0,Зарафшон,01.02.2022 18:24,370000
1,11,67.0,Шохмансур,01.02.2022 18:12,404000
2,11,68.0,Ватан,01.02.2022 18:04,633000
5,4,78.0,Фирдавси,01.02.2022 17:55,590000
2,7,67.0,Испечак,01.02.2022 17:40,335000
2,5,52.0,Фирдавси,01.02.2022 17:30,405000
1,4,65.0,Шохмансур,01.02.2022 17:28,419000
1,11,68.0,И.Сомони,01.02.2022 17:20,347000
2,2,36.0,Сино,01.02.2022 17:17,290000
2,5,50.0,Фирдавси,01.02.2022 17:14,410000
3,4,60.0,Фирдавсӣ,01.02.2022 17:03,580555
3,4,68.0,Исмоили Сомони,01.02.2022 16:40,610000
1,17,46.0,,01.02.2022 16:33,236000
3,9,125.0,Центр,01.02.2022 16:24,1305000
2,8,85.0,Шохмансур,01.02.2022 16:11,900000
2,3,40.0,Сино,01.02.2022 16:09,340000
1,4,43.0,Сино,01.02.2022 16:07,295000
1,4,27.0,31 мкр,01.02.2022 16:04,200000
3,4,65.0,Фирдавси,01.02.2022 16:01,610000
3,1,50,,01.02.2022 15:48,250000
1,13,43.0,Альфемо,01.02.2022 15:45,306000
3,12,146.0,Кукольный театр,01.02.2022 15:38,946000
3,4,80.0,91 мкр,01.02.2022 15:36,800000
1,7,43.0,зарафшон 2,01.02.2022 15:31,350000
4,4,75.0,101мкр,01.02.2022 15:30,565000
1,2,23.0,Исмоили Сомони,01.02.2022 15:30,220000
3,2,120.0,Ориентир - Ресторан Гулдаста,01.02.2022 15:29,1290300
3,7,97.0,Площадь Победы,01.02.2022 15:24,713920
2,2,60.0,Сино,01.02.2022 15:16,627000
2,9,50,,01.02.2022 15:15,335000
2,1,42.0,9 км,01.02.2022 15:15,270000
4,6,90.0,Испечак 2,01.02.2022 15:09,700000
3,2,50,,01.02.2022 15:00,604000
3,2,74.0,92мкр,01.02.2022 15:00,625000
2,9,50.0,112мкр,01.02.2022 14:59,455000
2,5,45.0,Шохмансур,01.02.2022 14:55,170000
2,4,91.0,Исмоили Сомони,01.02.2022 14:45,595000
3,10,83.0,Фирдавси ул Сохили 46 мкр,01.02.2022 14:15,398000
2,6,43.0,Сино,01.02.2022 14:12,167000
1,2,32.0,Фирдавси,01.02.2022 14:10,155000
4,10,143.0,Ориентир Бывший Магазин Камолот,01.02.2022 14:08,970250
3,7,83.0,Ориентир Площадь Победы,01.02.2022 14:07,610880
2,4,54.0,Фирдавси,01.02.2022 14:04,399000
2,12,70.0,65 мкр,01.02.2022 14:01,340000
5,10,116.0,Ориентир напротив бывшего магазина Ласточка,01.02.2022 13:59,787060
2,2,50,,01.02.2022 13:56,270000
2,1,60.0,Сино,01.02.2022 13:54,410000
2,15,67.0,Сино,01.02.2022 13:54,360000
1,3,34.0,Сино,01.02.2022 13:52,170000
5,14,123.0,Ориентир Новый офис Точиксодиротбанка,01.02.2022 13:50,848700
1,3,32.0,Сино,01.02.2022 13:48,175000
1,6,32.0,Фирдавси,01.02.2022 13:47,215000
1,2,40.0,Фирдавси,01.02.2022 13:44,165000
3,4,80.0,Сино,01.02.2022 13:43,540000
2,2,52.0,Фирдавси,01.02.2022 13:39,240000
2,6,45.0,Сино,01.02.2022 13:36,170000
2,2,50.0,Корвон,01.02.2022 13:23,175000
5,4,94.0,Автовокзал,01.02.2022 13:17,699999
3,2,63.0,р. Сино,01.02.2022 13:16,450000
4,10,140.0,Диагностика,01.02.2022 13:16,590000
5,16,113.0,Ориентир Гостиница Душанбе,01.02.2022 13:05,779700
3,12,136.0,район Сельхоз,01.02.2022 12:50,1080000
4,12,185.0,Караболо,01.02.2022 12:48,2230000
2,7,42.0,Н. Сино Маҳалаи Навбаҳор ( Тоҷирон),01.02.2022 12:33,225000
2,7,67.0,63 мкр,01.02.2022 12:23,375000
1,4,34.0,104 мкр,01.02.2022 12:06,320000
1,1,29.0,Мохи нав,01.02.2022 12:06,320000
2,12,88.0,Садбарг,01.02.2022 12:05,570000
2,7,80.0,92 мкр,01.02.2022 12:04,580000
3,1,77.0,Фирдавси,01.02.2022 12:03,569000
3,20,128.0,Ватан,01.02.2022 12:01,1368000
2,15,95.0,Центр,01.02.2022 11:54,535000
1,11,74.0,Ориентир Клиника Жасмин,01.02.2022 11:50,460000
2,18,96.0,Ориентир Душанбе Водоканал,01.02.2022 11:47,662400
1,14,74.0,Ориентир Национальный Патентный Центр,01.02.2022 11:46,510600
2,11,53.0,Шевченко 65,01.02.2022 11:40,678000
2,4,85.0,,01.02.2022 11:35,1300000
3,2,62.0,И. Сомони,01.02.2022 11:27,598900
2,12,64.0,Яккачинор,01.02.2022 11:27,289280
